Availability,Property Type,Project Name,Location,Min SFT,Max SFT,Builder's Price,One time Payment,Last Updated,Delivery Date,Ownership,POC,BHK,Rera,Builder Name,Project Details Drive Link,Current inventory,Min Budget,Max Budget,Nearby Locations (2km),Google Location,On bOard Status
Yes,Apartment,Bollineni Bion,Kondapur,1290, 3350 sq.ft.,14000,,,RTM,LandLord,,3 & 4,P02400001477,BSCPL,https://drive.google.com/file/d/1RYE-s8KZTUQoxA0HlpMkSfrZ1MTcif8U/view?usp=drive_link,,0,,"Hafeezpet, Whitefields, Gachibowli, Madhapur",https://maps.app.goo.gl/BJDVph2i35Bo62Et8,
No,Apartment,SMR IConia,Kondapur,1400,2530,7499 - 9650,,10/02/2025,RTM,LandLord,,2 & 3,P02400000069,SMR,https://drive.google.com/drive/folders/1tHsuMQJQzkVHqPviNZ-oTfVC2xjfz8s-?usp=sharing,,0,,"Hafeezpet, Whitefields, Gachibowli, Madhapur",https://maps.app.goo.gl/ULD36pkJUWfpLpdP7,
Sold Out,Apartment,Lansum Eden Garden,Kondapur,1765,2160,9699,10000,10/02/2025,RTM,LandLord,,3,P02400001908,Lansum,https://drive.google.com/drive/folders/1b5IVCDNy3VV0dYzStwwvuvvvVUA0NfOa?usp=sharing,,17650000,,"Hafeezpet, Whitefields, Gachibowli, Madhapur",https://maps.app.goo.gl/1RyvLLgFvuJQKTYaA,
No,Apartment,Fortune Water Front,Kukatpally,1875,2880,8200++,,10/02/2025,"Dec, 2028",LandLord,,3,,Sri Sreenivasa Infra,https://drive.google.com/drive/folders/1TO2L-BZxXb-nYUHTpYCL9whBOh3rLTt1?usp=sharing,,0,,"Hitech City, Kondapur, Chanda Nagar, Nizampet",,
TBD,Apartment,Vasavi ananda nilayam,LB Nagar,1330,4079,7000,5300 ++,,"Jun, 2028",LandLord,,2 & 3 & 4,P02400005582,Vasavi,https://drive.google.com/file/d/1QvAnfQDk_vQVDJgwDmfIyEAGA3KbVnv8/view?usp=drive_link,,#VALUE!,,"Kothapet, Nagole, Dilsukhnagar, Vanastalipuram",https://maps.app.goo.gl/KxhSc1Q8PLrQKFXj8,invited to corporate office for registration
Sold Out,Apartment,Candeur Crescent,Lingampally,1537, 2656 sq.ft.,8900++,,25/01/2025,"Dec, 2025",LandLord,,2 & 3,P02500004515,Canduer,https://drive.google.com/file/d/12bbAOlPC3IOhi2W6VXPT5Tz1fqR55SHM/view?usp=drive_link,,0,,"BHEL Township, Nallagandla, Chanda Nagar, Serilingampally",https://maps.app.goo.gl/4mWAjMCvC6ox93Z27,
TBD,Plot,Prestige Orchids,Mamidipally,300,1200,54000/sq yrd,65000-70000/sq yard,10/02/2025,"Sep, 2025",LandLord,,,P02400005132,Prestige,https://drive.google.com/drive/folders/1su9TXzNPpA1bkeFgAOF5mvUSiwlkinKM?usp=sharing,,#VALUE!,,"RGI Airport, Shamshabad, Katedan Industrial Area",https://maps.app.goo.gl/4C5g97xgy5oZwDJY9,registered online
TBD,Apartment,"The Drizzle -
 Ananda Homes & Prosper",Manikonda,1250,3210,6899,,,"Jul, 2028",LandLord,,3,P02400004975,Ananda Homes,https://drive.google.com/file/d/1UTyxx2hLI9lM4cbbda_4B4bI0dsGr2cq/view?usp=drive_link,,0,,"Gachibowli, Film Nagar, Khajaguda, Shaikpet",https://maps.app.goo.gl/9MTdBLahcdwJgaFr9,
Sold Out,Apartment,Ambience Courtyard,Manikonda,1245,1995,8590/sft,,01/02/2025,RTM,LandLord,,2 & 3,P02400001919,Sukhi Group,https://drive.google.com/file/d/1dwR4HvOpZMDDcuUgyJmC1im5mZo-lhIp/view?usp=drive_link,,0,,"Gachibowli, Film Nagar, Khajaguda, Shaikpet",https://maps.app.goo.gl/DaNogvg3pRnse22W7,
No,Apartment,Candeur 40,Miyapur,1142,1610 sq.ft.,9500,,,"Dec, 2027",LandLord,,2 & 3,P02400002183,Candeur,https://drive.google.com/file/d/1QKfDWebqnbqygd8MwfB9iFWnMMhiKpNG/view?usp=drive_link,,0,,"Hafeezpet, Chanda Nagar, Madina Guda, Bachupally",https://maps.app.goo.gl/ewziGmBA6FAnp1iWA,invited to miyapur office for registration
Sold Out,Apartment,Team4-Nyla,Miyapur,1200,1880,7199,6500,,"Oct, 2027",LandLord,,2 & 3,P02400003672,Team 4 Life Spaces.,https://drive.google.com/file/d/1qvV7bYdQAPFrVI0HQ3Ut8SEVrbHVEXI5/view?usp=drive_link,,7800000,,"Hafeezpet, Chanda Nagar, Madina Guda, Bachupally",https://maps.app.goo.gl/ysGQvuZE8sR7vySC7,
TBD,Apartment,Urbanrise- the world of joy,Miyapur,1333,2339,7699+ 8 L amenities,6399 OTP/Loan,10/02/2025,"Dec, 2026",LandLord,,3 & 4,P01100006655,Urbanrise,https://drive.google.com/file/d/1ye5GeBc_A_jHpXsoZvuw2SmO_wGGtSfw/view?usp=drive_link,,#VALUE!,,"Hafeezpet, Chanda Nagar, Madina Guda, Bachupally",https://maps.app.goo.gl/gVmfPTejcGk8zowb9,
TBD,Apartment,Vasavi Sarovar,Moosapet,1300,2920,7499,5500,,"Dec, 2027",LandLord,,2 & 3 & 4,P02200006766,Vasavi,https://drive.google.com/file/d/1Ujx5LjjCWpSqr7Y5rwhGhAqHRmyvcK6G/view?usp=drive_link,,7150000,,"Kukatpally, Balanagar, Sanath Nagar, Erragadda",https://maps.app.goo.gl/ThjHyfmPwnGiprv17,invited to corporate office for registration
Yes,Apartment,Aparna ZENON,Nanakramguda,1326, 2257 Sq Ft,11000,10100,17/02/2025,"Sep, 2027",LandLord,,2 & 3,P02400003722,Aparna Constructions,https://drive.google.com/file/d/14tszDW3g8pC89GRcxU7AxSq6DE_0N86-/view?usp=sharing,,13392600,,"Financial District, Gowlidoddy, Gopanpally, Kokapet",https://maps.app.goo.gl/8YyMzYkA1rYVckqD6,
No,Apartment,Sumadhura The Olympus,Nanakramguda,2010, 2270 sq.ft.,12000,,,"Jan, 2027",LandLord,,3,P02400003072,Sumadhura,https://drive.google.com/file/d/108WH0W9J2VgYc_E7tbFVLUGljzjUX9HQ/view?usp=drive_link,,0,,"Financial District, Gowlidoddy, Gopanpally, Kokapet",https://maps.app.goo.gl/ohri7jy7zo5mMCwS8,
TBD,Apartment,Western SPRINGS,Nanakramguda ,2184, 3490 sq.ft.,9500,,,"Dec, 2026",LandLord,,2 & 3,P02400005326, Western Constructions,https://drive.google.com/file/d/1AgGUGvTDtqPxTEdG27QmTQRhWcIk9a7r/view?usp=drive_link,,0,,"Financial District, Gowlidoddy, Gopanpally, Kokapet",https://maps.app.goo.gl/JpBsVfAhafnvAiWXA,
TBD,Apartment,Rajapushpa INFINA,Narsingi,3080,5725 sq.ft.,9199,6000 + FRC,17/02/2025,"Nov, 2028",LandLord,,2 & 3,P02400007500,Rajapushpa,https://drive.google.com/file/d/1qg7uQBjlKKzs20VXHgtDI2BH8IsSSg2Q/view?usp=drive_link,,#VALUE!,,"Narsingi, Gandipet, Puppalaguda, Manchirevula",https://maps.app.goo.gl/DsxJCNcmgzEvEpAp6,
No,Apartment,Vamsiram NEWMARK,Narsingi,4595,6250 sq.ft.,10000,,,"Nov, 2028",LandLord,,2 & 3,P02400007343,Vamisram Builders,https://drive.google.com/file/d/1Dc5Kt3JwsAqWJSyjeuQVDN4nKRCM51-u/view?usp=drive_link,,0,,"Kokapet, Alkapur Township, Manikonda, Gachibowli",https://maps.app.goo.gl/hPVQiFsc4qbRD9UL6,
Yes,Apartment,Vasavi Atlantis,Narsingi,1250,3330 sq.ft.,9000 ++,6800,17/02/2025,"Dec, 2025",LandLord,,2 & 3,P02400003398,Vasavi Group,https://drive.google.com/file/d/1n1STbQo-kiLBxA_jQRqUZPWf6K0aD_2E/view?usp=drive_link,,8500000,,"Kokapet, Alkapur Township, Manikonda, Gachibowli",https://maps.app.goo.gl/AT5DMwLd3H9nhBzA7,invited to corporate office for registration
Sold Out,Apartment,SKYWay9,Narsingi,1315,2150,6700,,,RTM,LandLord,,2 & 3,P02400004313,Kalyan Infra Projetcs,https://drive.google.com/file/d/1umcHkCV1C5sor5F-bSZV46cla-R1yHp7/view?usp=drive_link,,0,,"Kokapet, Alkapur Township, Manikonda, Gachibowli",https://maps.app.goo.gl/VES8wtuyGe7UqjoW8,
Sold Out,Villa,Srivan IRIS,Narsingi,5090,5200,12.5CR,11Cr,,RTM,LandLord,,4BHK,P02400001517,Sriven Avenues,https://drive.google.com/file/d/1M6Ww_YL5JbpYGy8cMi51DOozm9CCwZWc/view?usp=drive_link,,#VALUE!,,"Kokapet, Alkapur Township, Manikonda, Gachibowli",https://maps.app.goo.gl/96m1299ZCWnXPfSZ8,
Sold Out,Apartment,NCC Urban one,Narsingi,1535,3380,10000/sft++,9500,10/02/2025,RTM,LandLord,,3 & 4,P02400000379,NCC,https://drive.google.com/drive/folders/1TzUdbVNkK6vZd4knZDHQsxgFiGAJrW8z?usp=sharing,,14582500,,"Kokapet, Alkapur Township, Manikonda, Gachibowli",https://maps.app.goo.gl/Ukd9oh9yGYdfpkPF8,
Sold Out,Apartment,Lansum El dorado,Narsingi,1539,2239,8899,8500,10/02/2025,"Dec, 2025",LandLord,,3,P02400002654, Lansum,https://drive.google.com/drive/folders/14VzMZC7gQRQ5SAqes1JjTC3qNGAz9yXX?usp=sharing,,13081500,,"Kokapet, Alkapur Township, Manikonda, Gachibowli",https://maps.app.goo.gl/AC5tRdbext7sH1uF7,
TBD,Apartment,Aparna Cyber Height,Osman Nagar,1345,1981 Sq Ft,7399,6900,25/01/2025,"Mar, 2026",LandLord,,2 & 3,P01100005166,Aparna Constructions,https://drive.google.com/file/d/1sQkV3r9QpI6j9jmqxGm4F0v0jEXMa2oC/view?usp=sharing,,9280500,,"Tellapur, Gopanapalli Thanda, Kanchi Serilingampally",https://maps.app.goo.gl/zJ37qzGXrRLLHJj26,
Sold Out,Apartment,Aparna Cyber on,Osman Nagar,1465,1880 Sq Ft,6799,6000,25/01/2025,"Jun, 2027",LandLord,,2 & 3,P01100005168,Aparna Constructions,https://drive.google.com/file/d/1fAL2LteqrdZaoAWYMr-I-BT4QyVSTmWs/view?usp=drive_link,,8790000,,"Tellapur, Gopanapalli Thanda, Kanchi Serilingampally",https://maps.app.goo.gl/GMmvjkKAn9NQLzez6,
Yes,Apartment,DSR Altitude,Osman Nagar,2277,2277,7500,5999,12/01/2025,"Oct, 2029",LandLord,,3,P01100009092,DSR Builders,https://drive.google.com/file/d/1IGyz0dYbouPqDgqkrwmUxS13WaGDgeBg/view?usp=drive_link,,13659723,,"Tellapur, Gopanapalli Thanda, Kanchi Serilingampally",https://maps.app.goo.gl/hByo4ZLuqfFYNmfYA,invited to osman nagar site for registration(POC Suresh manager)
No,Apartment,Ramkyone Harmony,Pragathi nagar,1155,1595 sq.ft.,6999+3l amenities,,25/01/2025,RTM,LandLord,,2 & 3,P02200002611,Ramkyone,https://drive.google.com/drive/folders/12ZF1s1E-75x7AqauN7HPvqKEC5BEV4Vc?usp=drive_link,,0,,"Kukatpally, Nizampet",https://maps.app.goo.gl/ZdfQPMgAMAtBuG4M8,
Yes,Apartment,Rajapushpa Provincia,Puppalguda,1370,2660 sq.ft.,10000 ++,9600 ++,17/02/2025,"Jan, 2027",LandLord,,2 & 3,P02400002487,Rajapushpa,https://drive.google.com/file/d/1h1BksbP5ycMdmoyFzEkXOii2LzTZl6F1/view?usp=drive_link,,#VALUE!,,"Manikonda, Narsingi, Alkapur Township, Neknampur",https://maps.app.goo.gl/46azmbqBkbyif6HT8,
TBD,Apartment,Team 4 ARKA,Puppalguda,2565, 4410 sq.ft.,9900,,,"Aug, 2028",LandLord,,2 & 3,P02400007075,Team 4 Life Spaces.,https://drive.google.com/file/d/1Gy04lMsOY0UNaT00hUPFpbAsjUh58Bn1/view?usp=drive_link,,0,,"Manikonda, Narsingi, Alkapur Township, Neknampur",https://maps.app.goo.gl/HPPae1LkXEXn3LMu9,
Yes,Apartment,Raghuram VUE Residency,Puppalguda,1500,3975 sq.ft.,9200++,7999,17/02/2025,"Apr, 2025",LandLord,,2 & 3,P02400007083,Raghuram Infrastructure,https://drive.google.com/file/d/1a44BBY4OA5xadz--K0LdaKhLBZYfoiL7/view?usp=drive_link,,11998500,,"Manikonda, Narsingi, Alkapur Township, Neknampur",https://maps.app.goo.gl/d6fVugBQy95F4oNm6,
No,Apartment,GreenSpace Marvel,Puppalguda,1600,5695 sq.ft.,9000,,,"Dec, 2028",LandLord,,2 & 3,P02400008156,Greenspace Housing And Engineers Private Limited,https://drive.google.com/file/d/1BWAQ37sK56sHpEXxG8iK25KBSZjRkgN6/view?usp=drive_link,,0,,"Manikonda, Narsingi, Alkapur Township, Neknampur",https://maps.app.goo.gl/g3kQZUvCBD4ZaCP89,
TBD,Apartment,EIPL Cornerstone,Puppalguda,1950, 2350 sq.ft.,8500,,,RTM,LandLord,,2 & 3,P02400005057,EIPL ,https://drive.google.com/file/d/1jB2RCPX65a5EL7Hx6M5xz7tdXwsTqXEb/view?usp=drive_link,,0,,"Manikonda, Narsingi, Alkapur Township, Neknampur",https://maps.app.goo.gl/52DCskktPKJyGuPj6,
Yes,Apartment,SAS IWA Srias Life Spaces,Puppalguda,2290,4710 sq.ft.,9500,,,"Sep, 2028",LandLord,,2 & 3,P02400007210,Sas,https://drive.google.com/file/d/1sC7rI2rPv6ATXhLZEEJEA4WUR8sZArse/view?usp=drive_link,,0,,"Manikonda, Narsingi, Alkapur Township, Neknampur",https://maps.app.goo.gl/GATkpA8cqeZbWT879,
No,Apartment,Sukhi Ubuntu,Puppalguda,1315,2230,9499,,10/02/2025,"Nov, 2026",LandLord,,"2, 3 & 4",P02400003677,Sukhi Group,https://drive.google.com/drive/folders/1I_rSLDxEYy_P781jxwnCn-s8QvTimOBX?usp=sharing,,0,,"Manikonda, Narsingi, Alkapur Township, Neknampur",https://maps.app.goo.gl/5bJcj2bN9EvD7g617,not engaging with channel partners
TBD,Apartment,Prestige Rainbow,Raidurg,4955,7757,"11000 excluding stamp duties, reg",11000+++,10/02/2025,"Dec, 2026",LandLord,,4 & 5,P02400006240,Prestige,https://drive.google.com/drive/folders/14KYjvtRPVQ6JGKHmUAG94S0sWJShWRSL?usp=drive_link,,#VALUE!,,"Gachibowli, Madhapur, Hitech City, Manikonda",https://maps.app.goo.gl/6X36ogkj4ARdZhaX8,registered online
TBD,Plot,Prestige Nirvana Manasa Hills,Rajendranagar,300,1000,"1,80,000/sq yard","1,50,000/sqyard",11/02/2025,RTC,LandLord,,,P02400000393,Prestige,https://drive.google.com/file/d/1_bkHK_q-gotk5bGPYrRqsnNvPsi7mHqi/view?usp=sharing,RESALE,#VALUE!,,"Attapur, Shivrampally, Budvel, Mailardevpally",https://maps.app.goo.gl/4dofVnZGr74LLCBi6,registered online
